Original Name,Name in Other Language,Language,Location
MNASON,Μνάσων,Greek,Greek
MONIMOS,Μόνιμος,Greek,Greek
MORPHEUS,Μορφευς,Greek,Greek
MOYSES,Μωσῆς,Greek,Greek
MYRON,Μύρων,Greek,Greek
NABADIAS,Ναβαδίας,Greek,Greek
NABUCHODONOSOR,Ναβουχοδονόσορ,Greek,Greek
NACHOR,Ναχώρ,Greek,Greek
NARKISSOS,Νάρκισσος,Greek,Greek
NATHAM,Ναθάμ,Greek,Greek
NATHANAEL,Ναθαναήλ,Greek,Greek
NAZORAIOS,Ναζωραῖος,Greek,Greek
NEOPTOLEMOS,Νεοπτόλημος,Greek,Greek
NÊREUS,Νηρεύς,Greek,Greek
NESTOR,Νέστωρ,Greek,Greek
NICOLAOS,Νικόλαος,Greek,Greek
NIKATOR,Νικάτωρ,Greek,Greek
NIKANDROS,Νίκανδρος,Greek,Greek
NIKEPHOROS,Νικηφόρος,Greek,Greek
NIKIAS,Νικίας,Greek,Greek
NIKODEMOS,Νικόδημος,Greek,Greek
NIKOLA,Никола,Cyrillic,Greek
NIKOLAOS,Νικόλαος,Greek,Greek
NIKOLAS,Νικόλας,Greek,Greek
NIKOMACHOS,Νικόμαχος,Greek,Greek
NIKOMEDES,Νικομήδης,Greek,Greek
NIKON,Νίκων,Greek,Greek
NIKOSTRATOS,Νικόστρατος,Greek,Greek
NILEAS,Νηλεύς,Greek,Greek
NOE,Νῶε,Greek,Greek
NOMIKI,Νομική,Greek,Greek
ODYSSEUS,Ὀδυσσεύς,Greek,Greek
OIDIPOUS,Οἰδίπους,Greek,Greek
OINEUS,Οἰνεύς,Greek,Greek
OKEANOS,Ωκεανός,Greek,Greek
OLYMPIODOROS,Ὀλυμπιόδωρος,Greek,Greek
OLYMPOS,Όλυμπος,Greek,Greek
OLYSSEUS,Ὀλυσσεύς,Greek,Greek
ONESIMOS,Ονήσιμος,Greek,Greek
ONESIPHOROS,Ονησίφορος,Greek,Greek
OPHELOS,Όφελος,Greek,Greek
OPHIOUCHOS,Οφιούχος,Greek,Greek
OPHIUCHUS,Ὀφιοῦχος,Greek,Greek
ORESTES,Ὀρέστης,Greek,Greek
ORIGENES,Ὠριγένης,Greek,Greek
ORION,Ωρίων,Greek,Greek
ORPHEUS,Ὀρφεύς,Greek,Greek
OSIRIS,Όσιρις,Greek,Greek
OULIXES,Οὐλίξης,Greek,Greek
OULIXEUS,Οὐλιξεύς,Greek,Greek
OURANOS,Οὐρανός,Greek,Greek
OURBANOS,Οὐρβανός,Greek,Greek
OURIAS,Ουρίας,Greek,Greek
PAIAN,Παιάν,Greek,Greek
PAION,Παίων,Greek,Greek
PALAIMON,Πᾰλαιμον,Greek,Greek
PALLAS,Παλλάς,Greek,Greek
PAMPHILOS,Παμφιλος,Greek,Greek
PAN,Πάν,Greek,Greek
PANAGIOTAKIS,Παναγιωτάκης,Greek,Greek
PANAGIOTIS,Παναγιώτης,Greek,Greek
